TIME,NE,SE,SW,NW,Quat.x,Quat.y,Quat.z,Quat.w
0,0.34375,0.345,0.346667,0.345417,0.000000,-0.000000,0.000000,-1.000000
0,0.34375,0.345208,0.346875,0.345417,0.000000,-0.000000,0.000000,-1.000000
0,0.345417,0.346458,0.348333,0.347292,0.000000,-0.000000,0.000000,-1.000000
0,0.346458,0.347708,0.349167,0.347917,0.000000,-0.000000,0.000000,-1.000000
0,0.344479,0.345729,0.347396,0.346146,0.000000,-0.000000,0.000000,-1.000000
0,0.345833,0.347083,0.34875,0.3475,0.000000,-0.000000,0.000000,-1.000000
0,0.343854,0.345104,0.346771,0.345521,0.000000,-0.000000,0.000000,-1.000000
0,0.341562,0.343021,0.344896,0.343438,0.000000,-0.000000,0.000000,-1.000000
0,0.344375,0.345833,0.347708,0.34625,0.000000,-0.000000,0.000000,-1.000000
0,0.347187,0.348021,0.349271,0.348438,0.000000,-0.000000,0.000000,-1.000000
